"Metabolite","Replicate","nmol_in_Culture","Empirical_Formula","nmol_Carbon","nmol_Nitrogen"
"Succinylglycine","Smp_UCYNAnew_1",NA,"C6H9NO5",NA,NA
"Succinylglycine","Smp_UCYNAnew_2",NA,"C6H9NO5",NA,NA
"Succinylglycine","Smp_UCYNAnew_3",NA,"C6H9NO5",NA,NA
"Taurocyamine","Smp_UCYNAnew_1",0.005228854108,"C3H9N3O3S",0.01568656232,0.01568656232
"Taurocyamine","Smp_UCYNAnew_2",0.0002478123838,"C3H9N3O3S",0.0007434371515,0.0007434371515
"Taurocyamine","Smp_UCYNAnew_3",8.188439915e-05,"C3H9N3O3S",0.0002456531974,0.0002456531974
"Thiamine diphosphate","Smp_UCYNAnew_1",NA,"C12H19N4O7P2S",NA,NA
"Thiamine diphosphate","Smp_UCYNAnew_2",NA,"C12H19N4O7P2S",NA,NA
"Thiamine diphosphate","Smp_UCYNAnew_3",NA,"C12H19N4O7P2S",NA,NA
"Thiamine monophosphate","Smp_UCYNAnew_1",0.002346431498,"C12H18N4O4PS",0.02815717797,0.009385725991
"Thiamine monophosphate","Smp_UCYNAnew_2",0.00242271498,"C12H18N4O4PS",0.02907257976,0.00969085992
"Thiamine monophosphate","Smp_UCYNAnew_3",0.003248037537,"C12H18N4O4PS",0.03897645045,0.01299215015
"Trigonelline","Smp_UCYNAnew_1",0.8271027426,"C7H7NO2",5.789719198,0.8271027426
"Trigonelline","Smp_UCYNAnew_2",0.8434360068,"C7H7NO2",5.904052047,0.8434360068
"Trigonelline","Smp_UCYNAnew_3",0.8811824864,"C7H7NO2",6.168277405,0.8811824864
"Trimethylamine","Smp_UCYNAnew_1",NA,"C3H9N",NA,NA
"Trimethylamine","Smp_UCYNAnew_2",NA,"C3H9N",NA,NA
"Trimethylamine","Smp_UCYNAnew_3",NA,"C3H9N",NA,NA
"Trimethylamine N-oxide","Smp_UCYNAnew_1",0.0008825504915,"C3H9NO",0.002647651475,0.0008825504915
"Trimethylamine N-oxide","Smp_UCYNAnew_2",0.001067297028,"C3H9NO",0.003201891085,0.001067297028
"Trimethylamine N-oxide","Smp_UCYNAnew_3",0.004766129041,"C3H9NO",0.01429838712,0.004766129041
"Turicine","Smp_UCYNAnew_1",0.0001115301448,"C7H13NO3",0.0007807110134,0.0001115301448
"Turicine","Smp_UCYNAnew_2",0.0004035205582,"C7H13NO3",0.002824643908,0.0004035205582
"Turicine","Smp_UCYNAnew_3",0.0004505367189,"C7H13NO3",0.003153757032,0.0004505367189
"Urea","Smp_UCYNAnew_1",15.99378377,"CH4N2O",NA,31.98756754
"Urea","Smp_UCYNAnew_2",9.124080473,"CH4N2O",NA,18.24816095
"Urea","Smp_UCYNAnew_3",12.92113411,"CH4N2O",NA,25.84226822
