"Metabolite","Replicate","nmol_in_Culture","Empirical_Formula","nmol_Carbon","nmol_Nitrogen"
"Chitobiose","Smp_UCYNAnew_2",0.02804630448,"C16H28N2O11",0.4487408717,0.05609260896
"Chitobiose","Smp_UCYNAnew_3",0.03146578519,"C16H28N2O11",0.503452563,0.06293157038
"Choline","Smp_UCYNAnew_1",0.0005215612884,"C5H14NO",0.002607806442,0.0005215612884
"Choline","Smp_UCYNAnew_2",0.0004933564901,"C5H14NO",0.002466782451,0.0004933564901
"Choline","Smp_UCYNAnew_3",0.0003159411728,"C5H14NO",0.001579705864,0.0003159411728
"Choline sulfate","Smp_UCYNAnew_1",3.49922257e-05,"C5H13NO4S",0.0001749611285,3.49922257e-05
"Choline sulfate","Smp_UCYNAnew_2",1.850565624e-05,"C5H13NO4S",9.252828122e-05,1.850565624e-05
"Choline sulfate","Smp_UCYNAnew_3",4.458750677e-05,"C5H13NO4S",0.0002229375339,4.458750677e-05
"Citrulline","Smp_UCYNAnew_1",0.05932151545,"C6H13N3O3",0.3559290927,0.1779645464
"Citrulline","Smp_UCYNAnew_2",0.06186145307,"C6H13N3O3",0.3711687184,0.1855843592
"Citrulline","Smp_UCYNAnew_3",0.08724848165,"C6H13N3O3",0.5234908899,0.261745445
"Creatine","Smp_UCYNAnew_1",0.00230075892,"C4H9N3O2",0.00920303568,0.00690227676
"Creatine","Smp_UCYNAnew_2",0.002412892614,"C4H9N3O2",0.009651570458,0.007238677843
"Creatine","Smp_UCYNAnew_3",0.001830889997,"C4H9N3O2",0.007323559988,0.005492669991
"Creatinine","Smp_UCYNAnew_1",0.0008982707878,"C4H7N3O",0.003593083151,0.002694812363
"Creatinine","Smp_UCYNAnew_2",0.000803581461,"C4H7N3O",0.003214325844,0.002410744383
"Creatinine","Smp_UCYNAnew_3",0.0006658036411,"C4H7N3O",0.002663214564,0.001997410923
"Cytidine","Smp_UCYNAnew_1",0.5371589223,"C9H13N3O5",4.8344303,1.611476767
"Cytidine","Smp_UCYNAnew_2",0.1025151347,"C9H13N3O5",0.9226362124,0.3075454041
"Cytidine","Smp_UCYNAnew_3",0.2514550895,"C9H13N3O5",2.263095806,0.7543652686
"Cytosine","Smp_UCYNAnew_1",0.5897354215,"C4H5N3O",2.358941686,1.769206265
"Cytosine","Smp_UCYNAnew_2",0.1510767884,"C4H5N3O",0.6043071537,0.4532303653
"Cytosine","Smp_UCYNAnew_3",0.3152958605,"C4H5N3O",1.261183442,0.9458875816
"Deoxyadenosine","Smp_UCYNAnew_1",0.8623347247,"C10H13N5O3",8.623347247,4.311673624
"Deoxyadenosine","Smp_UCYNAnew_2",0.3753706877,"C10H13N5O3",3.753706877,1.876853439
"Deoxyadenosine","Smp_UCYNAnew_3",0.6261232074,"C10H13N5O3",6.261232074,3.130616037
"Dimethylglycine","Smp_UCYNAnew_1",0.002896095901,"C4H9NO2",0.0115843836,0.002896095901
"Dimethylglycine","Smp_UCYNAnew_2",0.001836146976,"C4H9NO2",0.007344587903,0.001836146976
"Dimethylglycine","Smp_UCYNAnew_3",2.13404719e-05,"C4H9NO2",8.536188759e-05,2.13404719e-05
"Dimethylsulfonioacetate","Smp_UCYNAnew_1",0.01302727595,"C4H9O2S",0.05210910379,NA
"Dimethylsulfonioacetate","Smp_UCYNAnew_2",0.01381705207,"C4H9O2S",0.05526820826,NA
"Dimethylsulfonioacetate","Smp_UCYNAnew_3",0.01420366356,"C4H9O2S",0.05681465422,NA
"Dimethylsulfoniopropionate","Smp_UCYNAnew_1",12.13492397,"C5H10O2S",60.67461983,NA
"Dimethylsulfoniopropionate","Smp_UCYNAnew_2",15.41645836,"C5H10O2S",77.0822918,NA
"Dimethylsulfoniopropionate","Smp_UCYNAnew_3",15.1848875,"C5H10O2S",75.92443749,NA
"Ectoine","Smp_UCYNAnew_1",0.001233446787,"C6H10N2O2",0.007400680722,0.002466893574
"Ectoine","Smp_UCYNAnew_2",0.00112008707,"C6H10N2O2",0.006720522417,0.002240174139
"Ectoine","Smp_UCYNAnew_3",0.0007327981374,"C6H10N2O2",0.004396788824,0.001465596275
"Ergothioneine","Smp_UCYNAnew_1",0.07626205738,"C9H15N3O2S",0.6863585164,0.2287861721
"Ergothioneine","Smp_UCYNAnew_2",0.09553386857,"C9H15N3O2S",0.8598048171,0.2866016057
"Ergothioneine","Smp_UCYNAnew_3",0.1168409795,"C9H15N3O2S",1.051568816,0.3505229386
"Ethanolamine","Smp_UCYNAnew_1",1.407776959,"C2H7NO",2.815553917,1.407776959
"Ethanolamine","Smp_UCYNAnew_2",1.629331397,"C2H7NO",3.258662794,1.629331397
"Ethanolamine","Smp_UCYNAnew_3",1.562838814,"C2H7NO",3.125677629,1.562838814
"Glucosamine","Smp_UCYNAnew_1",NA,"C6H13NO5",NA,NA
"Glucosamine","Smp_UCYNAnew_2",NA,"C6H13NO5",NA,NA
"Glucosamine","Smp_UCYNAnew_3",NA,"C6H13NO5",NA,NA
"Glutamylphenylalanine","Smp_UCYNAnew_1",0.004050287028,"C14H18N2O5",0.0567040184,0.008100574057
"Glutamylphenylalanine","Smp_UCYNAnew_2",0.004086059794,"C14H18N2O5",0.05720483712,0.008172119588
"Glutamylphenylalanine","Smp_UCYNAnew_3",0.002178643606,"C14H18N2O5",0.03050101048,0.004357287211
"Glutathione","Smp_UCYNAnew_1",-0.09996267973,"C10H17N3O6S",-0.9996267973,-0.2998880392
"Glutathione","Smp_UCYNAnew_2",-0.1031882914,"C10H17N3O6S",-1.031882914,-0.3095648743
"Glutathione","Smp_UCYNAnew_3",-0.1025547253,"C10H17N3O6S",-1.025547253,-0.3076641758
"Glutathione disulfide","Smp_UCYNAnew_1",0.02322734097,"C20H32N6O12S2",0.4645468193,0.1393640458
"Glutathione disulfide","Smp_UCYNAnew_2",0.05037726627,"C20H32N6O12S2",1.007545325,0.3022635976
"Glutathione disulfide","Smp_UCYNAnew_3",0.04129492388,"C20H32N6O12S2",0.8258984777,0.2477695433
"Glycerophosphocholine","Smp_UCYNAnew_1",0.005686119775,"C8H21NO6P",0.0454889582,0.005686119775
"Glycerophosphocholine","Smp_UCYNAnew_2",0.004137595179,"C8H21NO6P",0.03310076143,0.004137595179
"Glycerophosphocholine","Smp_UCYNAnew_3",0.004061976173,"C8H21NO6P",0.03249580939,0.004061976173
"Glycine","Smp_UCYNAnew_1",1.633432103,"C2H5NO2",3.266864206,1.633432103
"Glycine","Smp_UCYNAnew_2",1.502859252,"C2H5NO2",3.005718505,1.502859252
"Glycine","Smp_UCYNAnew_3",1.618618647,"C2H5NO2",3.237237293,1.618618647
"Glycine betaine","Smp_UCYNAnew_1",0.009776027628,"C5H11NO2",0.04888013814,0.009776027628
"Glycine betaine","Smp_UCYNAnew_2",0.01040765102,"C5H11NO2",0.05203825509,0.01040765102
"Glycine betaine","Smp_UCYNAnew_3",0.009676319086,"C5H11NO2",0.04838159543,0.009676319086
"Gonyol","Smp_UCYNAnew_1",2.123736427,"C7H14O3S",14.86615499,NA
"Gonyol","Smp_UCYNAnew_2",3.479461949,"C7H14O3S",24.35623364,NA
"Gonyol","Smp_UCYNAnew_3",3.220398696,"C7H14O3S",22.54279087,NA
"Guanine","Smp_UCYNAnew_1",0.3474583441,"C5H5N5O",1.737291721,1.737291721
"Guanine","Smp_UCYNAnew_2",0.353864399,"C5H5N5O",1.769321995,1.769321995
"Guanine","Smp_UCYNAnew_3",0.3375246534,"C5H5N5O",1.687623267,1.687623267
"Guanosine","Smp_UCYNAnew_1",0.7838255472,"C10H13N5O5",7.838255472,3.919127736
"Guanosine","Smp_UCYNAnew_2",0.5949482908,"C10H13N5O5",5.949482908,2.974741454
"Guanosine","Smp_UCYNAnew_3",0.6726397128,"C10H13N5O5",6.726397128,3.363198564
"Homarine","Smp_UCYNAnew_1",64.93360781,"C7H7NO2",454.5352547,64.93360781
"Homarine","Smp_UCYNAnew_2",94.97749217,"C7H7NO2",664.8424452,94.97749217
"Homarine","Smp_UCYNAnew_3",93.96809332,"C7H7NO2",657.7766532,93.96809332
"Hordenine","Smp_UCYNAnew_1",6.459854493e-05,"C10H15NO",0.0006459854493,6.459854493e-05
"Hordenine","Smp_UCYNAnew_2",7.828614868e-05,"C10H15NO",0.0007828614868,7.828614868e-05
"Hordenine","Smp_UCYNAnew_3",9.745021124e-05,"C10H15NO",0.0009745021124,9.745021124e-05
"Hydroxyisoleucine","Smp_UCYNAnew_1",0.01145113452,"C6H13NO3",0.0687068071,0.01145113452
"Hydroxyisoleucine","Smp_UCYNAnew_2",0.01128604559,"C6H13NO3",0.06771627355,0.01128604559
"Hydroxyisoleucine","Smp_UCYNAnew_3",0.01353749255,"C6H13NO3",0.0812249553,0.01353749255
"Hydroxyproline","Smp_UCYNAnew_1",0.04033562481,"C5H9NO3",0.201678124,0.04033562481
"Hydroxyproline","Smp_UCYNAnew_2",0.05173054132,"C5H9NO3",0.2586527066,0.05173054132
"Hydroxyproline","Smp_UCYNAnew_3",0.04987159477,"C5H9NO3",0.2493579739,0.04987159477
"Hypotaurine","Smp_UCYNAnew_1",0.2098193149,"C2H7NO2S",0.4196386298,0.2098193149
"Hypotaurine","Smp_UCYNAnew_2",0.2291197356,"C2H7NO2S",0.4582394711,0.2291197356
"Hypotaurine","Smp_UCYNAnew_3",0.2536202182,"C2H7NO2S",0.5072404364,0.2536202182
"Hypoxanthine","Smp_UCYNAnew_1",1.184527021,"C5H4N4O",5.922635105,4.738108084
"Hypoxanthine","Smp_UCYNAnew_2",1.04393155,"C5H4N4O",5.219657752,4.175726201
"Hypoxanthine","Smp_UCYNAnew_3",1.005442123,"C5H4N4O",5.027210613,4.02176849
"L-Alanine","Smp_UCYNAnew_1",0.1922243873,"C3H7NO2",0.5766731619,0.1922243873
"L-Alanine","Smp_UCYNAnew_2",0.2246828367,"C3H7NO2",0.67404851,0.2246828367
"L-Alanine","Smp_UCYNAnew_3",0.1990807228,"C3H7NO2",0.5972421685,0.1990807228
"L-Arginine","Smp_UCYNAnew_1",1.674657853,"C6H14N4O2",10.04794712,6.69863141
"L-Arginine","Smp_UCYNAnew_2",1.50768822,"C6H14N4O2",9.046129321,6.03075288
"L-Arginine","Smp_UCYNAnew_3",1.551802644,"C6H14N4O2",9.310815866,6.207210578
"L-Arginosuccinic acid","Smp_UCYNAnew_1",0.00443512284,"C10H18N4O6",0.0443512284,0.01774049136
"L-Arginosuccinic acid","Smp_UCYNAnew_2",0.002778255203,"C10H18N4O6",0.02778255203,0.01111302081
"L-Arginosuccinic acid","Smp_UCYNAnew_3",0.006673590691,"C10H18N4O6",0.06673590691,0.02669436277
"L-Asparagine","Smp_UCYNAnew_1",0.3564444037,"C4H8N2O3",1.425777615,0.7128888073
"L-Asparagine","Smp_UCYNAnew_2",1.442215546,"C4H8N2O3",5.768862183,2.884431091
"L-Asparagine","Smp_UCYNAnew_3",0.1249959444,"C4H8N2O3",0.4999837778,0.2499918889
"L-Aspartic acid","Smp_UCYNAnew_1",4.821773123,"C4H7NO4",19.28709249,4.821773123
"L-Aspartic acid","Smp_UCYNAnew_2",5.307834095,"C4H7NO4",21.23133638,5.307834095
"L-Aspartic acid","Smp_UCYNAnew_3",8.40702238,"C4H7NO4",33.62808952,8.40702238
"L-Cystathionine","Smp_UCYNAnew_1",0.01042765122,"C7H14N2O4S",0.07299355855,0.02085530244
"L-Cystathionine","Smp_UCYNAnew_2",0.02447417038,"C7H14N2O4S",0.1713191927,0.04894834076
"L-Cystathionine","Smp_UCYNAnew_3",0.02133257833,"C7H14N2O4S",0.1493280483,0.04266515666
"L-Cystine","Smp_UCYNAnew_1",0.04306696574,"C6H12N2O4S2",0.2584017945,0.08613393149
"L-Cystine","Smp_UCYNAnew_2",0.06545882135,"C6H12N2O4S2",0.3927529281,0.1309176427
"L-Cystine","Smp_UCYNAnew_3",0.02717661352,"C6H12N2O4S2",0.1630596811,0.05435322704
"L-Glutamic acid","Smp_UCYNAnew_1",-4.425370111,"C5H9NO4",-22.12685056,-4.425370111
"L-Glutamic acid","Smp_UCYNAnew_2",-5.331907678,"C5H9NO4",-26.65953839,-5.331907678
"L-Glutamic acid","Smp_UCYNAnew_3",-5.367927182,"C5H9NO4",-26.83963591,-5.367927182
"L-Glutamine","Smp_UCYNAnew_1",6.218567316,"C5H10N2O3",31.09283658,12.43713463
"L-Glutamine","Smp_UCYNAnew_2",8.066107728,"C5H10N2O3",40.33053864,16.13221546
"L-Glutamine","Smp_UCYNAnew_3",7.782006586,"C5H10N2O3",38.91003293,15.56401317
"L-Histidine","Smp_UCYNAnew_1",0.4919305467,"C6H9N3O2",2.95158328,1.47579164
"L-Histidine","Smp_UCYNAnew_2",0.3957150693,"C6H9N3O2",2.374290416,1.187145208
"L-Histidine","Smp_UCYNAnew_3",0.4155800769,"C6H9N3O2",2.493480461,1.246740231
"L-Homoserine","Smp_UCYNAnew_1",0.610480881,"C4H9NO3",2.441923524,0.610480881
"L-Homoserine","Smp_UCYNAnew_2",1.18845052,"C4H9NO3",4.75380208,1.18845052
"L-Homoserine","Smp_UCYNAnew_3",1.246950407,"C4H9NO3",4.987801626,1.246950407
"L-Hydroxylysine","Smp_UCYNAnew_1",NA,"C6H14N2O3",NA,NA
"L-Hydroxylysine","Smp_UCYNAnew_2",NA,"C6H14N2O3",NA,NA
"L-Hydroxylysine","Smp_UCYNAnew_3",NA,"C6H14N2O3",NA,NA
"L-Isoleucine","Smp_UCYNAnew_1",1.655323426,"C6H13NO2",9.931940559,1.655323426
"L-Isoleucine","Smp_UCYNAnew_2",1.560262552,"C6H13NO2",9.361575314,1.560262552
"L-Isoleucine","Smp_UCYNAnew_3",1.45531441,"C6H13NO2",8.731886463,1.45531441
"L-Leucine","Smp_UCYNAnew_1",1.641237298,"C6H13NO2",9.847423789,1.641237298
"L-Leucine","Smp_UCYNAnew_2",1.522882569,"C6H13NO2",9.137295413,1.522882569
"L-Leucine","Smp_UCYNAnew_3",1.441456032,"C6H13NO2",8.648736191,1.441456032
"L-Lysine","Smp_UCYNAnew_1",6.543178814,"C6H14N2O2",39.25907289,13.08635763
"L-Lysine","Smp_UCYNAnew_2",7.189819026,"C6H14N2O2",43.13891415,14.37963805
"L-Lysine","Smp_UCYNAnew_3",6.982484547,"C6H14N2O2",41.89490728,13.96496909
"L-Methionine","Smp_UCYNAnew_1",1.095458255,"C5H11NO2S",5.477291276,1.095458255
"L-Methionine","Smp_UCYNAnew_2",1.069296874,"C5H11NO2S",5.346484369,1.069296874
"L-Methionine","Smp_UCYNAnew_3",0.9264546169,"C5H11NO2S",4.632273085,0.9264546169
"L-Methionine S-oxide","Smp_UCYNAnew_1",0.05863966978,"C5H11NO3S",0.2931983489,0.05863966978
"L-Methionine S-oxide","Smp_UCYNAnew_2",0.04500708351,"C5H11NO3S",0.2250354176,0.04500708351
"L-Methionine S-oxide","Smp_UCYNAnew_3",0.04363338972,"C5H11NO3S",0.2181669486,0.04363338972
"L-Ornithine","Smp_UCYNAnew_1",0.1350911737,"C5H12N2O2",0.6754558685,0.2701823474
"L-Ornithine","Smp_UCYNAnew_2",0.1104613068,"C5H12N2O2",0.5523065342,0.2209226137
"L-Ornithine","Smp_UCYNAnew_3",0.1209692312,"C5H12N2O2",0.6048461562,0.2419384625
"L-Proline","Smp_UCYNAnew_1",3.124278503,"C5H9NO2",15.62139252,3.124278503
"L-Proline","Smp_UCYNAnew_2",3.349962689,"C5H9NO2",16.74981344,3.349962689
"L-Proline","Smp_UCYNAnew_3",3.088491429,"C5H9NO2",15.44245715,3.088491429
"L-Serine","Smp_UCYNAnew_1",1.350681151,"C3H7NO3",4.052043454,1.350681151
"L-Serine","Smp_UCYNAnew_2",1.236193789,"C3H7NO3",3.708581368,1.236193789
"L-Serine","Smp_UCYNAnew_3",1.358879056,"C3H7NO3",4.076637168,1.358879056
"L-Threonine","Smp_UCYNAnew_1",2.241579025,"C4H9NO3",8.966316099,2.241579025
"L-Threonine","Smp_UCYNAnew_2",2.313989044,"C4H9NO3",9.255956178,2.313989044
"L-Threonine","Smp_UCYNAnew_3",2.49442109,"C4H9NO3",9.977684359,2.49442109
"L-Tyrosine","Smp_UCYNAnew_1",0.7890914906,"C9H11NO3",7.101823416,0.7890914906
"L-Tyrosine","Smp_UCYNAnew_2",0.8388016438,"C9H11NO3",7.549214794,0.8388016438
"L-Tyrosine","Smp_UCYNAnew_3",0.8325451312,"C9H11NO3",7.492906181,0.8325451312
"L-Valine","Smp_UCYNAnew_1",0.610675723,"C5H11NO2",3.053378615,0.610675723
