"","metabolite","date","treatment","nmol","replicate","pn_nm","pc_nm","cn_ratio","nm_metab_per_pc_nm"
"145","Taurine",2022-07-27,"ZF",0.0799158342920552,"230616_Smp_27July-ZF_1",719.3131445,7946.02717,11.0466870107363,1.00573321211102e-05
"146","Taurine",2022-07-27,"ZF",0.00862165861900032,"230616_Smp_27July-ZF_2",662.2942942,7349.96006,11.0977251719769,1.17302115230818e-06
"147","Taurine",2022-07-27,"ZF",0.0213346547990578,"230616_Smp_27July-ZF_3",533.518494,5329.35629,9.9890750741248,4.00323296813353e-06
"148","Taurine",2022-07-27,"ZH",0.00616704412600275,"230616_Smp_27July-ZH_2",1119.460044,13829.30202,12.3535467783073,4.45940374798666e-07
"149","Taurine",2022-07-27,"ZH",0.0780826821529785,"230616_Smp_27July-ZH_3",1181.178816,10188.12289,8.6253857180588,7.66408915518868e-06
"150","Taurine",2022-07-27,"ZL",0.0139898671374405,"230616_Smp_27July-ZL_1",686.3991255,7511.747635,10.9437022221264,1.86239844803313e-06
"151","Taurine",2022-07-27,"ZL",0.154237151735395,"230616_Smp_27July-ZL_2",770.5393265,7771.73842,10.0861022308898,1.98459010584398e-05
"152","Taurine",2022-07-27,"ZL",0.00875954270892449,"230616_Smp_27July-ZL_3",735.371196,8741.118965,11.886675753071,1.0021077100081e-06
"153","Isethionic acid",2022-07-27,"C",1.60030624601133,"230616_Smp_27July-C_1",1185.426254,11479.2730866667,9.68366699145729,0.000139408326113446
"154","Isethionic acid",2022-07-27,"C",1.94585354873243,"230616_Smp_27July-C_2",873.6222439,10625.53868,12.1626237818371,0.000183129872972467
"155","Isethionic acid",2022-07-27,"C",0.17798291421716,"230616_Smp_27July-C_3",517.7119853,5497.437682,10.618718202582,3.23756128786909e-05
"156","Isethionic acid",2022-07-27,"LH",1.33641012320206,"230616_Smp_27July-LH_1",2010.09345,20020.74554,9.96010684975865,6.67512666065312e-05
"157","Isethionic acid",2022-07-27,"LH",0.110875400442565,"230616_Smp_27July-LH_2",2574.28402,28262.54342,10.9787976774995,3.92305104303189e-06
"158","Isethionic acid",2022-07-27,"LH",0.617585270505057,"230616_Smp_27July-LH_3",2662.613278,28495.09614,10.7019282054373,2.16733878513967e-05
"159","Isethionic acid",2022-07-27,"LL",0.269392325015657,"230616_Smp_27July-LL_1",939.6974365,9737.048695,10.3618976883311,2.7666732852429e-05
"160","Isethionic acid",2022-07-27,"LL",1.31970046143446,"230616_Smp_27July-LL_2",966.664390666667,9603.34338,9.93451654237205,0.000137420938647563
"161","Isethionic acid",2022-07-27,"LL",0.73425512869299,"230616_Smp_27July-LL_3",1154.727914,10410.86432,9.01585922863557,7.05277781098765e-05
"162","Isethionic acid",2022-07-27,"RH",2.579032790518,"230616_Smp_27July-RH_2",2509.253898,31183.55714,12.4274220176981,8.27048940869483e-05
